x,y,phi
7.750000000000000000e+00,2.500000000000000000e-01,6.653775211908961928e+00
7.916666666666666075e+00,2.500000000000000000e-01,6.501485780914421753e+00
8.083333333333332149e+00,2.500000000000000000e-01,6.335755702320825300e+00
8.250000000000000000e+00,2.500000000000000000e-01,6.155707373124792881e+00
8.416666666666667851e+00,2.500000000000000000e-01,5.960337662495558853e+00
8.583333333333333925e+00,2.500000000000000000e-01,5.748493819981224107e+00
8.750000000000000000e+00,2.500000000000000000e-01,5.518842133007540340e+00
8.916666666666666075e+00,2.500000000000000000e-01,5.269826419093445402e+00
9.083333333333332149e+00,2.500000000000000000e-01,4.999611931170948154e+00
9.250000000000000000e+00,2.500000000000000000e-01,4.706007818392284214e+00
9.416666666666667851e+00,2.500000000000000000e-01,4.386357343234563722e+00
9.583333333333332149e+00,2.500000000000000000e-01,4.037378958187608724e+00
9.750000000000000000e+00,2.500000000000000000e-01,3.654933693324483812e+00
9.916666666666666075e+00,2.500000000000000000e-01,3.233694379224021809e+00
1.008333333333333215e+01,2.500000000000000000e-01,2.766754750619238923e+00
1.025000000000000000e+01,2.500000000000000000e-01,2.372757983566683659e+00
1.041666666666666607e+01,2.500000000000000000e-01,2.038793497835239776e+00
1.058333333333333215e+01,2.500000000000000000e-01,1.754621688334879526e+00
1.075000000000000000e+01,2.500000000000000000e-01,1.512062455195332777e+00
1.091666666666666607e+01,2.500000000000000000e-01,1.304497685010741259e+00
1.108333333333333393e+01,2.500000000000000000e-01,1.126509524981775812e+00
1.125000000000000000e+01,2.500000000000000000e-01,9.736194110433715743e-01
1.141666666666666607e+01,2.500000000000000000e-01,8.420963307713202894e-01
1.158333333333333393e+01,2.500000000000000000e-01,7.288126584052747603e-01
1.175000000000000000e+01,2.500000000000000000e-01,6.311333820585748322e-01
1.191666666666666785e+01,2.500000000000000000e-01,5.468293889502932048e-01
1.208333333333333215e+01,2.500000000000000000e-01,4.740085239955503238e-01
1.225000000000000000e+01,2.500000000000000000e-01,4.110600749627414952e-01
1.241666666666666785e+01,2.500000000000000000e-01,3.566095967180084592e-01
1.258333333333333215e+01,2.500000000000000000e-01,3.094818276997168272e-01
1.275000000000000000e+01,2.500000000000000000e-01,2.686700275181049813e-01
1.291666666666666607e+01,2.500000000000000000e-01,2.333104690993885177e-01
1.308333333333333215e+01,2.500000000000000000e-01,2.026611093940102470e-01
1.325000000000000000e+01,2.500000000000000000e-01,1.760836757824202348e-01
1.341666666666666607e+01,2.500000000000000000e-01,1.530285645232896397e-01
1.358333333333333393e+01,2.500000000000000000e-01,1.330220683632363510e-01
1.375000000000000000e+01,2.500000000000000000e-01,1.156555435724340858e-01
1.391666666666666607e+01,2.500000000000000000e-01,1.005761991699600510e-01
1.408333333333333393e+01,2.500000000000000000e-01,8.747924841404657037e-02
1.425000000000000000e+01,2.500000000000000000e-01,7.610120824636612546e-02
1.441666666666666785e+01,2.500000000000000000e-01,6.621416900737502054e-02
1.458333333333333215e+01,2.500000000000000000e-01,5.762088649842039140e-02
1.475000000000000000e+01,2.500000000000000000e-01,5.015057261808449768e-02
1.491666666666666785e+01,2.500000000000000000e-01,4.365528074953165666e-02
1.508333333333333215e+01,2.500000000000000000e-01,3.800679842623400084e-02
1.525000000000000000e+01,2.500000000000000000e-01,3.309397342078069376e-02
1.541666666666666607e+01,2.500000000000000000e-01,2.882041074150411622e-02
1.558333333333333215e+01,2.500000000000000000e-01,2.510248743019028936e-02
